DOI,Title,Journal,Year,Month,Authors
"10.1038/s41528-026-00558-0","Programmable somatosensory soft robots","npj Flexible Electronics","2026","3","Georgopoulou, Antonia; Aguiriano Calvo, Malena; Lucherini, Lorenzo; Lee, Sudong; Hughes, Josie"
"10.1038/s41528-025-00504-6","EdemaFlex: textile-based soft-robotic platform toward personalized hand edema therapy","npj Flexible Electronics","2026","2","Youn, Seonyoung; Choudhury, Arhan; Ku, Pin-Sung; Fu, Wenyi; Tsai, Margaret"
"10.1038/s41528-026-00556-2","Highly robust ECG electrodes constructed from semi-liquid metal fibers for reliable emergency rescue monitoring","npj Flexible Electronics","2026","3","Liu, Xiaotong; Xu, Hui; Chen, Linglong; Lyu, Xin; Wang, Xiaoshuai"
"10.1038/s41528-025-00522-4","Deformation-adaptive pressure sensors based on multi-level discrete sensing arrays for morphing electronics and human–machine interaction","npj Flexible Electronics","2026","1","Li, Changjiang; Zhang, Jie; Yu, Haocheng; Zhao, Fengwan; Xu, Zhe"
"10.1038/s41528-026-00543-7","A multimodal framework for fatigue driving detection via feature fusion of vision and tactile information","npj Flexible Electronics","2026","2","Li, Kunpeng; Yue, Wei; Shin, Dong-Bin; Bi, Ke; Zhao, Dong"
"10.1038/s41528-026-00539-3","Multifunctional; energy-autonomous textile sensors enabled by spray-coated two-dimensional heterostructures","npj Flexible Electronics","2026","2","Kovalska, Evgeniya; Routledge, Jack; Cancelliere, Rocco; Lam, Hoi Tung; Sadanandan, Kavya Sreeja"
"10.1038/s41528-026-00552-6","Strain-transformative integration of perovskite thin-film optoelectronics for in-plane multiaxial stretchable and 3D curvy artificial compound eye arrays","npj Flexible Electronics","2026","2","Zhang, Ke; Yang, Jiahao; Huang, Yu; Chen, Lei; Wang, Sixian"
"10.1038/s41528-026-00555-3","Mechanoreceptor-inspired multisensory fibers for artificial somatosensation","npj Flexible Electronics","2026","2","Jeon, Sungha; Lee, Jungjoon; Won, Joonhee; Bak, Keungyonh; Kim, Kiun"
"10.1038/s41528-026-00553-5","Hierarchal structures tuned electrocaloric and electromechanical performance in PVDF-based tetrapolymers","npj Flexible Electronics","2026","2","Rui, Guanchun; Zhu, Wenyi; Zou, Qin; Li, Li; Wu, Siyu"
"10.1038/s41528-025-00521-5","High-precision All-MXene-printed flexible ultra-wideband millimeter-wave endfire antennas based on spoof surface plasmon polaritons for wireless communication","npj Flexible Electronics","2026","1","Lin, Feifei; Ni, Hao; Zhao, Weiwei; Liu, Leilei; Zhang, Yijie"
"10.1038/s41528-026-00547-3","Achieving intrinsically stretchable high-performance n-type semiconducting polymers by tuning side chain ordering inspired by oleic acid","npj Flexible Electronics","2026","2","Zhang, Xiao-Yan; Yu, Zi-Di; Liu, Nai-Fu; Sun, Wenxi; Wang, Xin-Yi"
"10.1038/s41528-026-00529-5","3D micropatterning of PEDOT:PSS/Gelatin conductive hydrogels via two-photon lithography for soft bioelectronics","npj Flexible Electronics","2026","1","Buzio, Marco; Gini, Martina; Schneider, Tom C.; Stajkovic, Nevena; Ingebrandt, Sven"
"10.1038/s41528-026-00530-y","Sub-1V; flexible; all-polymer complementary logic circuits based on electrolyte-gated transistors","npj Flexible Electronics","2026","2","Kim, Su Jung; Park, Dong Hyun; Lee, Yu Na; Kim, Min Su; Hong, Kihyon"
"10.1038/s41528-026-00535-7","Directional permeation-driven microfiber composite hydrogel towards rapid sweat uptaking and hydration monitoring","npj Flexible Electronics","2026","1","Shen, Hao; Liu, Siyuan; Liu, Mengyuan; Liu, Yujie; Wen, Feng"
"10.1038/s41528-026-00557-1","Unidirectional dynamic stiffness modulation enables easily insertable and conformally attachable spinal bioelectronic device","npj Flexible Electronics","2026","3","Hong, Sunguk; Pak, Sungah; Cho, Mingeun; Ko, Matthew; Lee, Seongjae"
"10.1038/s41528-026-00538-4","Scalable in-situ fabrication of multimodal electronic skin for intelligent robotics and interactive systems","npj Flexible Electronics","2026","1","Lim, Hakhyun; Choi, Jungrak; Han, Chankyu; Kim, Dabin; Jin, Hanbit"
"10.1038/s41528-025-00525-1","A conformable multimodal imaging marker for surgical navigation systems","npj Flexible Electronics","2026","1","Kim, Kyung Yeun; Ryu, Jegyeong; Kang, Joohyuk; Jang, Bongkyun; Lee, Ji-young"
"10.1038/s41528-026-00546-4","Spiderweb-inspired flextensional transduction enables giant piezoelectric response for monitoring imperceptible biomechanical signals","npj Flexible Electronics","2026","2","Liu, Shengjie; Chen, Minqi; Song, Zhongqian; Li, Weiyan; Kong, Huijun"
"10.1038/s41528-025-00517-1","Ultrasound-transparent neural interfaces for multimodal interaction","npj Flexible Electronics","2026","1","Panskus, Raphael; Velea, Andrada Iulia; Holzapfel, Lukas; Pavlou, Christos; Li, Qingying"

✅ 已保存到: ~/.openclaw/workspace/zotero_import.csv
